J.Segura (5.7), 2016`Arizona Diamondbacks
C.Santana (4.0), 2012`Cleveland Indians
D.Fowler (2.8), 2012`Colorado Rockies
J.Verlander (7.7), 2012`Detroit Tigers
L.Harrell (3.0), 2012`Houston Astros
A.Gordon (6.3), 2012`Kansas City Royals
M.Trout (10.8), 2012`Los Angeles Angels of Anaheim
C.Kershaw (6.6), 2012`Los Angeles Dodgers
G.Stanton (5.5), 2012`Miami Marlins
R.Braun (6.9), 2012`Milwaukee Brewers
D.Span (5.0), 2012`Minnesota Twins
D.Wright (7.0), 2012`New York Mets
R.Cano (8.4), 2012`New York Yankees
J.Reddick (5.0), 2012`Oakland Athletics
C.Hamels (5.2), 2012`Philadelphia Phillies
A.McCutchen (7.0), 2012`Pittsburgh Pirates
C.Headley (6.3), 2012`San Diego Padres
B.Posey (7.3), 2012`San Francisco Giants
F.Hernandez (4.8), 2012`Seattle Mariners
Y.Molina (6.9), 2012`St. Louis Cardinals
D.Price (6.9), 2012`Tampa Bay Rays
A.Beltre (7.2), 2012`Texas Rangers
E.Encarnacion (5.0), 2012`Toronto Blue Jays
J.Zimmermann (5.3), 2012`Washington Nationals
J.Upton (6.1), 2011`Arizona Diamondbacks
E.O'Flaherty (3.4), 2011`Atlanta Braves
M.Wieters (4.9), 2011`Baltimore Orioles
J.Ellsbury (8.1), 2011`Boston Red Sox
S.Castro (3.0), 2011`Chicago Cubs
M.Buehrle (3.8), 2011`Chicago White Sox
J.Votto (6.3), 2011`Cincinnati Reds
A.Cabrera (5.0), 2011`Cleveland Indians
T.Tulowitzki (6.1), 2011`Colorado Rockies
J.Verlander (8.4), 2011`Detroit Tigers
C.Lee (4.0), 2011`Houston Astros
A.Gordon (7.2), 2011`Kansas City Royals
J.Weaver (7.0), 2011`Los Angeles Angels of Anaheim
M.Kemp (8.2), 2011`Los Angeles Dodgers
G.Stanton (4.1), 2011`Florida Marlins
R.Braun (7.8), 2011`Milwaukee Brewers
S.Baker (4.4), 2011`Minnesota Twins
J.Reyes (4.7), 2011`New York Mets
C.Sabathia (7.4), 2011`New York Yankees
G.Gonzalez (4.4), 2011`Oakland Athletics
C.Lee (9.2), 2011`Philadelphia Phillies
A.McCutchen (5.7), 2011`Pittsburgh Pirates
C.Maybin (4.5), 2011`San Diego Padres
P.Sandoval (6.1), 2011`San Francisco Giants
B.Ryan (4.0), 2011`Seattle Mariners
A.Pujols (5.3), 2011`St. Louis Cardinals
B.Zobrist (8.7), 2011`Tampa Bay Rays
I.Kinsler (7.1), 2011`Texas Rangers
J.Bautista (8.1), 2011`Toronto Blue Jays
T.Clippard (3.4), 2011`Washington Nationals
C.Young (5.4), 2010`Arizona Diamondbacks
J.Heyward (6.4), 2010`Atlanta Braves
J.Guthrie (4.7), 2010`Baltimore Orioles
A.Beltre (7.8), 2010`Boston Red Sox
M.Byrd (3.7), 2010`Chicago Cubs
A.Ramirez (5.6), 2010`Chicago White Sox
J.Votto (6.9), 2010`Cincinnati Reds
S.Choo (5.9), 2010`Cleveland Indians
U.Jimenez (7.4), 2010`Colorado Rockies
M.Cabrera (6.4), 2010`Detroit Tigers
M.Bourn (5.5), 2010`Houston Astros
J.Soria (3.7), 2010`Kansas City Royals
J.Weaver (5.5), 2010`Los Angeles Angels of Anaheim
C.Kershaw (5.1), 2010`Los Angeles Dodgers
J.Johnson (6.8), 2010`Florida Marlins
R.Braun (5.7), 2010`Milwaukee Brewers
J.Mauer (5.9), 2010`Minnesota Twins
A.Pagan (5.3), 2010`New York Mets
R.Cano (8.1), 2010`New York Yankees
D.Barton (5.5), 2010`Oakland Athletics
R.Halladay (8.1), 2010`Philadelphia Phillies
A.McCutchen (3.8), 2010`Pittsburgh Pirates
A.Gonzalez (4.3), 2010`San Diego Padres
A.Huff (5.7), 2010`San Francisco Giants
F.Hernandez (7.1), 2010`Seattle Mariners
A.Pujols (7.5), 2010`St. Louis Cardinals
E.Longoria (8.1), 2010`Tampa Bay Rays
J.Hamilton (8.7), 2010`Texas Rangers
J.Bautista (6.9), 2010`Toronto Blue Jays
R.Zimmerman (6.2), 2010`Washington Nationals
D.Haren (7.1), 2009`Arizona Diamondbacks
J.Jurrjens (6.8), 2009`Atlanta Braves
B.Bergesen (3.3), 2009`Baltimore Orioles
K.Youkilis (6.6), 2009`Boston Red Sox
D.Lee (5.4), 2009`Chicago Cubs
M.Buehrle (5.4), 2009`Chicago White Sox
J.Votto (4.8), 2009`Cincinnati Reds
S.Choo (5.5), 2009`Cleveland Indians
T.Tulowitzki (6.5), 2009`Colorado Rockies
J.Verlander (5.5), 2009`Detroit Tigers
M.Bourn (5.0), 2009`Houston Astros
Z.Greinke (10.4), 2009`Kansas City Royals
C.Figgins (7.7), 2009`Los Angeles Angels of Anaheim
M.Kemp (4.8), 2009`Los Angeles Dodgers
J.Johnson (7.4), 2009`Florida Marlins
P.Fielder (6.3), 2009`Milwaukee Brewers
J.Mauer (7.8), 2009`Minnesota Twins
A.Pagan (4.0), 2009`New York Mets
D.Jeter (6.5), 2009`New York Yankees
A.Bailey (3.7), 2009`Oakland Athletics
C.Utley (8.2), 2009`Philadelphia Phillies
J.Wilson (3.2), 2009`Pittsburgh Pirates
A.Gonzalez (6.9), 2009`San Diego Padres
T.Lincecum (7.6), 2009`San Francisco Giants
F.Gutierrez (6.6), 2009`Seattle Mariners
A.Pujols (9.7), 2009`St. Louis Cardinals
B.Zobrist (8.6), 2009`Tampa Bay Rays
I.Kinsler (6.0), 2009`Texas Rangers
R.Halladay (6.9), 2009`Toronto Blue Jays
R.Zimmerman (7.3), 2009`Washington Nationals
D.Haren (6.6), 2008`Arizona Diamondbacks
C.Jones (7.3), 2008`Atlanta Braves
N.Markakis (7.4), 2008`Baltimore Orioles
D.Pedroia (6.9), 2008`Boston Red Sox
R.Dempster (6.9), 2008`Chicago Cubs
J.Danks (6.4), 2008`Chicago White Sox
E.Volquez (4.6), 2008`Cincinnati Reds
C.Lee (6.8), 2008`Cleveland Indians
M.Holliday (5.8), 2008`Colorado Rockies
P.Polanco (4.4), 2008`Detroit Tigers
L.Berkman (6.8), 2008`Houston Astros
Z.Greinke (5.4), 2008`Kansas City Royals
E.Santana (5.0), 2008`Los Angeles Angels of Anaheim
C.Billingsley (4.5), 2008`Los Angeles Dodgers
H.Ramirez (6.7), 2008`Florida Marlins
C.Sabathia (5.2), 2008`Milwaukee Brewers
J.Mauer (5.6), 2008`Minnesota Twins
J.Santana (7.1), 2008`New York Mets
A.Rodriguez (6.8), 2008`New York Yankees
M.Ellis (4.0), 2008`Oakland Athletics
C.Utley (9.0), 2008`Philadelphia Phillies
P.Maholm (3.9), 2008`Pittsburgh Pirates
B.Giles (4.8), 2008`San Diego Padres
T.Lincecum (8.1), 2008`San Francisco Giants
A.Beltre (5.6), 2008`Seattle Mariners
A.Pujols (9.2), 2008`St. Louis Cardinals
C.Pena (5.1), 2008`Tampa Bay Rays
J.Hamilton (5.4), 2008`Texas Rangers
R.Halladay (6.2), 2008`Toronto Blue Jays
C.Guzman (4.6), 2008`Washington Nationals
B.Webb (5.9), 2007`Arizona Diamondbacks
C.Jones (7.6), 2007`Atlanta Braves
E.Bedard (5.8), 2007`Baltimore Orioles
J.Beckett (6.6), 2007`Boston Red Sox
A.Ramirez (5.2), 2007`Chicago Cubs
J.Vazquez (6.1), 2007`Chicago White Sox
A.Harang (5.5), 2007`Cincinnati Reds
C.Sabathia (6.4), 2007`Cleveland Indians
T.Tulowitzki (6.8), 2007`Colorado Rockies
C.Granderson (7.6), 2007`Detroit Tigers
R.Oswalt (6.6), 2007`Houston Astros
G.Meche (4.1), 2007`Kansas City Royals
J.Lackey (6.2), 2007`Los Angeles Angels of Anaheim
B.Penny (6.6), 2007`Los Angeles Dodgers
H.Ramirez (4.3), 2007`Florida Marlins
C.Hart (4.7), 2007`Milwaukee Brewers
J.Santana (5.2), 2007`Minnesota Twins
D.Wright (8.3), 2007`New York Mets
A.Rodriguez (9.4), 2007`New York Yankees
M.Ellis (4.8), 2007`Oakland Athletics
C.Utley (7.8), 2007`Philadelphia Phillies
J.Wilson (3.6), 2007`Pittsburgh Pirates
J.Peavy (6.9), 2007`San Diego Padres
M.Cain (4.3), 2007`San Francisco Giants
I.Suzuki (5.8), 2007`Seattle Mariners
A.Pujols (8.7), 2007`St. Louis Cardinals
C.Pena (7.2), 2007`Tampa Bay Devil Rays
I.Kinsler (4.1), 2007`Texas Rangers
A.Rios (5.6), 2007`Toronto Blue Jays
R.Zimmerman (4.6), 2007`Washington Nationals
B.Webb (7.0), 2006`Arizona Diamondbacks
J.Smoltz (5.9), 2006`Atlanta Braves
M.Tejada (4.5), 2006`Baltimore Orioles
D.Ortiz (5.7), 2006`Boston Red Sox
C.Zambrano (5.8), 2006`Chicago Cubs
J.Thome (4.9), 2006`Chicago White Sox
B.Arroyo (7.0), 2006`Cincinnati Reds
G.Sizemore (6.6), 2006`Cleveland Indians
G.Atkins (4.9), 2006`Colorado Rockies
C.Guillen (6.0), 2006`Detroit Tigers
R.Oswalt (6.1), 2006`Houston Astros
M.Teahen (3.7), 2006`Kansas City Royals
J.Weaver (4.8), 2006`Los Angeles Angels of Anaheim
D.Lowe (4.6), 2006`Los Angeles Dodgers
M.Cabrera (5.8), 2006`Florida Marlins
B.Hall (5.8), 2006`Milwaukee Brewers
J.Santana (7.5), 2006`Minnesota Twins
C.Beltran (8.2), 2006`New York Mets
C.Wang (6.0), 2006`New York Yankees
B.Zito (4.4), 2006`Oakland Athletics
C.Utley (7.3), 2006`Philadelphia Phillies
F.Sanchez (4.4), 2006`Pittsburgh Pirates
M.Cameron (4.3), 2006`San Diego Padres
J.Schmidt (4.0), 2006`San Francisco Giants
A.Beltre (5.4), 2006`Seattle Mariners
A.Pujols (8.4), 2006`St. Louis Cardinals
C.Crawford (4.5), 2006`Tampa Bay Devil Rays
G.Matthews (5.2), 2006`Texas Rangers
V.Wells (6.2), 2006`Toronto Blue Jays
A.Soriano (6.1), 2006`Washington Nationals
C.Counsell (5.5), 2005`Arizona Diamondbacks
A.Jones (6.7), 2005`Atlanta Braves
B.Roberts (7.2), 2005`Baltimore Orioles
D.Ortiz (5.3), 2005`Boston Red Sox
D.Lee (7.7), 2005`Chicago Cubs
M.Buehrle (4.8), 2005`Chicago White Sox
F.Lopez (4.2), 2005`Cincinnati Reds
G.Sizemore (6.6), 2005`Cleveland Indians
T.Helton (4.6), 2005`Colorado Rockies
P.Polanco (4.3), 2005`Detroit Tigers
R.Clemens (8.2), 2005`Houston Astros
D.DeJesus (4.4), 2005`Kansas City Royals
V.Guerrero (5.7), 2005`Los Angeles Angels of Anaheim
J.Kent (3.7), 2005`Los Angeles Dodgers
D.Willis (8.4), 2005`Florida Marlins
G.Jenkins (4.6), 2005`Milwaukee Brewers
J.Santana (7.2), 2005`Minnesota Twins
P.Martinez (6.5), 2005`New York Mets
A.Rodriguez (9.4), 2005`New York Yankees
E.Chavez (4.8), 2005`Oakland Athletics
C.Utley (7.2), 2005`Philadelphia Phillies
J.Bay (5.7), 2005`Pittsburgh Pirates
J.Peavy (4.9), 2005`San Diego Padres
N.Lowry (4.8), 2005`San Francisco Giants
I.Suzuki (3.9), 2005`Seattle Mariners
A.Pujols (8.4), 2005`St. Louis Cardinals
C.Crawford (4.4), 2005`Tampa Bay Devil Rays
M.Teixeira (7.2), 2005`Texas Rangers
R.Halladay (5.5), 2005`Toronto Blue Jays
J.Patterson (4.5), 2005`Washington Nationals
R.Johnson (8.3), 2004`Arizona Diamondbacks
J.Drew (8.3), 2004`Atlanta Braves
M.Tejada (7.3), 2004`Baltimore Orioles
C.Schilling (7.9), 2004`Boston Red Sox
C.Zambrano (7.3), 2004`Chicago Cubs
A.Rowand (5.6), 2004`Chicago White Sox
A.Dunn (4.7), 2004`Cincinnati Reds
T.Hafner (5.0), 2004`Cleveland Indians
T.Helton (8.3), 2004`Colorado Rockies
C.Guillen (4.6), 2004`Detroit Tigers
L.Berkman (6.0), 2004`Houston Astros
Z.Greinke (3.7), 2004`Kansas City Royals
V.Guerrero (5.6), 2004`Anaheim Angels
A.Beltre (9.5), 2004`Los Angeles Dodgers
C.Pavano (5.8), 2004`Florida Marlins
B.Sheets (7.3), 2004`Milwaukee Brewers
J.Santana (8.7), 2004`Minnesota Twins
A.Leiter (4.7), 2004`New York Mets
A.Rodriguez (7.6), 2004`New York Yankees
E.Chavez (5.5), 2004`Oakland Athletics
B.Abreu (6.5), 2004`Philadelphia Phillies
O.Perez (6.0), 2004`Pittsburgh Pirates
M.Loretta (6.0), 2004`San Diego Padres
B.Bonds (10.6), 2004`San Francisco Giants
I.Suzuki (9.1), 2004`Seattle Mariners
S.Rolen (9.1), 2004`St. Louis Cardinals
C.Crawford (4.9), 2004`Tampa Bay Devil Rays
R.Drese (5.2), 2004`Texas Rangers
O.Hudson (5.2), 2004`Toronto Blue Jays
L.Hernandez (5.8), 2004`Montreal Expos
B.Webb (5.9), 2003`Arizona Diamondbacks
M.Giles (7.8), 2003`Atlanta Braves
M.Mora (4.7), 2003`Baltimore Orioles
P.Martinez (8.0), 2003`Boston Red Sox
M.Prior (8.0), 2003`Chicago Cubs
E.Loaiza (7.2), 2003`Chicago White Sox
J.Guillen (4.7), 2003`Cincinnati Reds
M.Bradley (4.1), 2003`Cleveland Indians
T.Helton (6.2), 2003`Colorado Rockies
D.Young (3.4), 2003`Detroit Tigers
R.Hidalgo (5.7), 2003`Houston Astros
D.May (5.9), 2003`Kansas City Royals
G.Anderson (4.0), 2003`Anaheim Angels
K.Brown (4.5), 2003`Los Angeles Dodgers
D.Willis (4.4), 2003`Florida Marlins
S.Podsednik (3.6), 2003`Milwaukee Brewers
A.Pierzynski (4.5), 2003`Minnesota Twins
S.Trachsel (4.5), 2003`New York Mets
M.Mussina (6.6), 2003`New York Yankees
T.Hudson (7.5), 2003`Oakland Athletics
B.Abreu (5.3), 2003`Philadelphia Phillies
K.Wells (5.1), 2003`Pittsburgh Pirates
M.Loretta (4.9), 2003`San Diego Padres
B.Bonds (9.2), 2003`San Francisco Giants
B.Boone (5.9), 2003`Seattle Mariners
A.Pujols (8.6), 2003`St. Louis Cardinals
A.Huff (4.0), 2003`Tampa Bay Devil Rays
A.Rodriguez (8.4), 2003`Texas Rangers
R.Halladay (8.1), 2003`Toronto Blue Jays
L.Hernandez (6.4), 2003`Montreal Expos
R.Johnson (10.7), 2002`Arizona Diamondbacks
A.Jones (6.6), 2002`Atlanta Braves
M.Mora (4.7), 2002`Baltimore Orioles
D.Lowe (7.3), 2002`Boston Red Sox
S.Sosa (5.7), 2002`Chicago Cubs
M.Ordonez (5.1), 2002`Chicago White Sox
E.Dessens (4.3), 2002`Cincinnati Reds
J.Thome (7.4), 2002`Cleveland Indians
T.Helton (6.3), 2002`Colorado Rockies
J.Weaver (2.8), 2002`Detroit Tigers
R.Oswalt (6.9), 2002`Houston Astros
P.Byrd (5.5), 2002`Kansas City Royals
D.Erstad (6.4), 2002`Anaheim Angels
S.Green (6.9), 2002`Los Angeles Dodgers
A.Burnett (4.1), 2002`Florida Marlins
J.Hernandez (4.4), 2002`Milwaukee Brewers
J.Jones (5.4), 2002`Minnesota Twins
E.Alfonzo (5.0), 2002`New York Mets
J.Giambi (7.1), 2002`New York Yankees
B.Zito (7.1), 2002`Oakland Athletics
B.Abreu (5.8), 2002`Philadelphia Phillies
B.Giles (5.3), 2002`Pittsburgh Pirates
R.Klesko (4.2), 2002`San Diego Padres
B.Bonds (11.8), 2002`San Francisco Giants
J.Moyer (5.7), 2002`Seattle Mariners
J.Edmonds (6.7), 2002`St. Louis Cardinals
R.Winn (4.9), 2002`Tampa Bay Devil Rays
A.Rodriguez (8.8), 2002`Texas Rangers
R.Halladay (7.3), 2002`Toronto Blue Jays
V.Guerrero (7.0), 2002`Montreal Expos
R.Johnson (9.4), 2001`Arizona Diamondbacks
C.Jones (5.9), 2001`Atlanta Braves
J.Conine (2.9), 2001`Baltimore Orioles
M.Ramirez (5.2), 2001`Boston Red Sox
S.Sosa (10.3), 2001`Chicago Cubs
M.Buehrle (5.9), 2001`Chicago White Sox
E.Dessens (4.5), 2001`Cincinnati Reds
R.Alomar (7.3), 2001`Cleveland Indians
T.Helton (7.8), 2001`Colorado Rockies
S.Sparks (4.3), 2001`Detroit Tigers
L.Berkman (6.5), 2001`Houston Astros
C.Beltran (6.4), 2001`Kansas City Royals
T.Glaus (5.2), 2001`Anaheim Angels
S.Green (6.9), 2001`Los Angeles Dodgers
C.Floyd (6.6), 2001`Florida Marlins
R.Belliard (3.5), 2001`Milwaukee Brewers
J.Mays (6.6), 2001`Minnesota Twins
M.Piazza (4.4), 2001`New York Mets
M.Mussina (7.1), 2001`New York Yankees
J.Giambi (9.1), 2001`Oakland Athletics
S.Rolen (5.5), 2001`Philadelphia Phillies
B.Giles (5.3), 2001`Pittsburgh Pirates
P.Nevin (5.8), 2001`San Diego Padres
B.Bonds (11.9), 2001`San Francisco Giants
B.Boone (8.8), 2001`Seattle Mariners
A.Pujols (6.6), 2001`St. Louis Cardinals
T.Sturtze (3.3), 2001`Tampa Bay Devil Rays
A.Rodriguez (8.3), 2001`Texas Rangers
C.Delgado (4.5), 2001`Toronto Blue Jays
J.Vazquez (6.2), 2001`Montreal Expos
R.Johnson (8.1), 2000`Arizona Diamondbacks
A.Jones (8.2), 2000`Atlanta Braves
M.Mussina (5.6), 2000`Baltimore Orioles
P.Martinez (11.7), 2000`Boston Red Sox
S.Sosa (5.7), 2000`Chicago Cubs
F.Thomas (6.0), 2000`Chicago White Sox
K.Griffey (5.5), 2000`Cincinnati Reds
R.Alomar (5.6), 2000`Cleveland Indians
T.Helton (8.8), 2000`Colorado Rockies
B.Higginson (5.3), 2000`Detroit Tigers
R.Hidalgo (6.3), 2000`Houston Astros
J.Damon (6.1), 2000`Kansas City Royals
D.Erstad (8.3), 2000`Anaheim Angels
K.Brown (6.8), 2000`Los Angeles Dodgers
L.Castillo (4.5), 2000`Florida Marlins
J.D'Amico (4.8), 2000`Milwaukee Brewers
B.Radke (6.2), 2000`Minnesota Twins
E.Alfonzo (6.4), 2000`New York Mets
J.Posada (5.5), 2000`New York Yankees
J.Giambi (7.7), 2000`Oakland Athletics
B.Abreu (6.2), 2000`Philadelphia Phillies
B.Giles (6.4), 2000`Pittsburgh Pirates
P.Nevin (4.1), 2000`San Diego Padres
B.Bonds (7.7), 2000`San Francisco Giants
A.Rodriguez (10.4), 2000`Seattle Mariners
J.Edmonds (6.3), 2000`St. Louis Cardinals
A.Lopez (3.2), 2000`Tampa Bay Devil Rays
K.Rogers (5.1), 2000`Texas Rangers
C.Delgado (7.3), 2000`Toronto Blue Jays
V.Guerrero (5.9), 2000`Montreal Expos
R.Johnson (8.8), 1999`Arizona Diamondbacks
A.Jones (7.1), 1999`Atlanta Braves
B.Anderson (5.9), 1999`Baltimore Orioles
P.Martinez (9.7), 1999`Boston Red Sox
S.Sosa (4.8), 1999`Chicago Cubs
M.Ordonez (5.8), 1999`Chicago White Sox
M.Cameron (5.5), 1999`Cincinnati Reds
R.Alomar (7.4), 1999`Cleveland Indians
P.Astacio (6.0), 1999`Colorado Rockies
B.Ausmus (3.3), 1999`Detroit Tigers
M.Hampton (7.8), 1999`Houston Astros
J.Damon (5.4), 1999`Kansas City Royals
R.Velarde (4.2), 1999`Anaheim Angels
K.Brown (5.5), 1999`Los Angeles Dodgers
A.Fernandez (3.5), 1999`Florida Marlins
J.Cirillo (4.8), 1999`Milwaukee Brewers
B.Radke (6.5), 1999`Minnesota Twins
R.Ventura (6.7), 1999`New York Mets
D.Jeter (8.0), 1999`New York Yankees
J.Giambi (5.9), 1999`Oakland Athletics
B.Abreu (6.1), 1999`Philadelphia Phillies
B.Giles (6.6), 1999`Pittsburgh Pirates
R.Sanders (4.1), 1999`San Diego Padres
B.Bonds (3.8), 1999`San Francisco Giants
J.Moyer (6.7), 1999`Seattle Mariners
M.McGwire (5.2), 1999`St. Louis Cardinals
F.McGriff (4.0), 1999`Tampa Bay Devil Rays
I.Rodriguez (6.4), 1999`Texas Rangers
S.Green (6.4), 1999`Toronto Blue Jays
V.Guerrero (4.4), 1999`Montreal Expos
O.Daal (4.1), 1998`Arizona Diamondbacks
A.Jones (7.4), 1998`Atlanta Braves
R.Palmeiro (6.2), 1998`Baltimore Orioles
N.Garciaparra (7.1), 1998`Boston Red Sox
S.Sosa (6.4), 1998`Chicago Cubs
A.Belle (7.1), 1998`Chicago White Sox
B.Larkin (5.7), 1998`Cincinnati Reds
K.Lofton (5.9), 1998`Cleveland Indians
L.Walker (5.7), 1998`Colorado Rockies
D.Easley (5.6), 1998`Detroit Tigers
C.Biggio (6.5), 1998`Houston Astros
J.Offerman (5.3), 1998`Kansas City Royals
C.Finley (7.2), 1998`Anaheim Angels
G.Sheffield (3.4), 1998`Los Angeles Dodgers
M.Kotsay (3.9), 1998`Florida Marlins
J.Cirillo (5.9), 1998`Milwaukee Brewers
B.Radke (5.2), 1998`Minnesota Twins
J.Olerud (7.6), 1998`New York Mets
D.Jeter (7.5), 1998`New York Yankees
K.Rogers (7.5), 1998`Oakland Athletics
S.Rolen (6.7), 1998`Philadelphia Phillies
J.Kendall (5.6), 1998`Pittsburgh Pirates
K.Brown (9.1), 1998`San Diego Padres
B.Bonds (8.1), 1998`San Francisco Giants
A.Rodriguez (8.5), 1998`Seattle Mariners
M.McGwire (7.5), 1998`St. Louis Cardinals
R.Arrojo (4.1), 1998`Tampa Bay Devil Rays
